ACT_SEGREG,AREA_HA,AREA_M2,ARROJO_RR1,ARROJO_RR_,CANT_RRSS,CATEGORIA,CRIANZA_AN,DEN_BOT,DEPARTAMEN,DISTRITO,ESTE,Index,M_ADM_BOT,M_DISP_RRS,NORTE,PERIMETRO,PROVINCIA,QUEMA_BASU,ZONA
No,0.37513427,3751.34268737,No,No,"0,71",Recuperación,No,Botadero Quebrada Mitscka,Ancash,San Pedro de Chana,277655.0,704,Municipalidad distrital de San Pedro de Chana,Municipalidad distrital de San Pedro de Chana,8961846.0,290.96813606,Huari,Si,18
No,0.04992507,499.25069106,No,No,No Precisa,Recuperación,No,Botadero Quebrada Alkuragra,Ancash,Huacachi,287401.0,726,Municipalidad distrital de Huacachi,Municipalidad distrital de Huacachi,8968922.0,86.85305931,Huari,Si,18
No,0.11188026,1118.80255636,No,No,No Precisa,Recuperación,No,Botadero Quebrada Tranca,Ancash,Rapayan,304488.0,797,Municipalidad distrital de Rapayan,Municipalidad distrital de Rapayan,8980349.0,143.29135706,Huari,Si,18
Si,2.99920668,29992.0668148,No,Si,4,Recuperación,Si,Botadero Municipal de Huarmey,Ancash,Huarmey,811176.0,161,Municipalidad provincial de Huarmey,Municipalidad provincial de Huarmey,8889748.0,915.13263888,Huarmey,Si,17
No,0.03252245,325.2244797,No,Si,"0,6",Recuperación,Si,Botadero El Chorro,Ancash,Malvas,208858.0,914,Municipalidad distrital de Malvas,Municipalidad distrital de Malvas,8900975.0,71.15890062,Huarmey,Si,18
No,0.03106683,310.66832897,No,Si,"0,4",Recuperación,Si,Botadero Yanque,Ancash,Cochapeti,206758.0,1047,Municipalidad distrital de Cochapeti,Municipalidad distrital de Cochapeti,8893842.0,90.41243536,Huarmey,Si,18
No,0.07822078,782.20775186,No,Si,"1,5",Recuperación,Si,Botadero S/N,Ancash,Culebras,805481.0,1222,Municipalidad distrital de Culebras,Municipalidad distrital de Culebras,8901846.0,111.53773201,Huarmey,Si,17
No,0.01473559,147.35593559,No,No,No Precisa,Recuperación,No,Botadero Barrio Rayan,Ancash,Fidel Olivas Escudero,249356.0,769,Municipalidad distrital de Fidel Olivas Escudero,Municipalidad distrital de Fidel Olivas Escudero,9025871.0,45.7329008,Mariscal Luzuriaga,Si,18
No,0.08901764,890.17643634,No,No,No Precisa,Recuperación,No,Botadero Quebrada Cabrillas,Ancash,Cochas,234951.0,240,Municipalidad distrital de Cochas,Municipalidad distrital de Cochas,8832805.0,125.34748655,Ocros,Si,18
No,0.10220738,1022.07382123,No,No,No Precisa,Recuperación,No,Botadero Sector Callacocha,Ancash,Acas,245364.0,241,Municipalidad distrital de Acas,Municipalidad distrital de Acas,8844062.0,141.79665114,Ocros,Si,18
No,0.04829402,482.94019724,No,No,No Precisa,Recuperación,No,Botadero Quebrada Minaspunta,Ancash,Carhuapampa,254193.0,1046,Municipalidad distrital de Carhuapampa,Municipalidad distrital de Carhuapampa,8836896.0,95.478809,Ocros,Si,18
No,0.18241349,1824.13485889,No,Si,No Precisa,Recuperación,No,Botadero Sector Ayar,Ancash,Ocros,236657.0,1566,Municipalidad provincial de Ocros,Municipalidad provincial de Ocros,8847379.0,184.30585775,Ocros,Si,18
